run_index,domain,scene,threshold,answer_type,noisy_oracle_error_rate,seed,max_step,log_dir
1,tomato,04,0.8,oracle,0.0,643666395,50,experiments_logs/system_log/00_ours/tomato/scene_04_step50/ours_answer_oracle_thres_0-8
1,tomato,04,0.8,oracle,0.0,2108308084,50,experiments_logs/system_log/00_ours/tomato/scene_04_step50/ours_answer_oracle_thres_0-8
1,tomato,04,0.8,oracle,0.0,508849695,50,experiments_logs/system_log/00_ours/tomato/scene_04_step50/ours_answer_oracle_thres_0-8
1,tomato,04,0.8,oracle,0.0,3377785008,50,experiments_logs/system_log/00_ours/tomato/scene_04_step50/ours_answer_oracle_thres_0-8
1,tomato,04,0.8,oracle,0.0,2305302747,50,experiments_logs/system_log/00_ours/tomato/scene_04_step50/ours_answer_oracle_thres_0-8
1,tomato,04,0.8,oracle,0.0,1412133316,50,experiments_logs/system_log/00_ours/tomato/scene_04_step50/ours_answer_oracle_thres_0-8
1,tomato,04,0.8,oracle,0.0,1755538977,50,experiments_logs/system_log/00_ours/tomato/scene_04_step50/ours_answer_oracle_thres_0-8
1,tomato,04,0.8,oracle,0.0,1752769463,50,experiments_logs/system_log/00_ours/tomato/scene_04_step50/ours_answer_oracle_thres_0-8
1,tomato,04,0.8,oracle,0.0,2635987530,50,experiments_logs/system_log/00_ours/tomato/scene_04_step50/ours_answer_oracle_thres_0-8
1,tomato,04,0.8,oracle,0.0,3678482658,50,experiments_logs/system_log/00_ours/tomato/scene_04_step50/ours_answer_oracle_thres_0-8
1,tomato,04,0.8,oracle,0.0,2801759572,50,experiments_logs/system_log/00_ours/tomato/scene_04_step50/ours_answer_oracle_thres_0-8
1,tomato,04,0.8,oracle,0.0,1502836380,50,experiments_logs/system_log/00_ours/tomato/scene_04_step50/ours_answer_oracle_thres_0-8
1,tomato,04,0.8,oracle,0.0,1143232291,50,experiments_logs/system_log/00_ours/tomato/scene_04_step50/ours_answer_oracle_thres_0-8
1,tomato,04,0.8,oracle,0.0,1824841856,50,experiments_logs/system_log/00_ours/tomato/scene_04_step50/ours_answer_oracle_thres_0-8
1,tomato,04,0.8,oracle,0.0,2982417868,50,experiments_logs/system_log/00_ours/tomato/scene_04_step50/ours_answer_oracle_thres_0-8
1,tomato,04,0.8,oracle,0.0,813641502,50,experiments_logs/system_log/00_ours/tomato/scene_04_step50/ours_answer_oracle_thres_0-8
1,tomato,04,0.8,oracle,0.0,913853971,50,experiments_logs/system_log/00_ours/tomato/scene_04_step50/ours_answer_oracle_thres_0-8
1,tomato,04,0.8,oracle,0.0,95982646,50,experiments_logs/system_log/00_ours/tomato/scene_04_step50/ours_answer_oracle_thres_0-8
1,tomato,04,0.8,oracle,0.0,4276467272,50,experiments_logs/system_log/00_ours/tomato/scene_04_step50/ours_answer_oracle_thres_0-8
1,tomato,04,0.8,oracle,0.0,3036617002,50,experiments_logs/system_log/00_ours/tomato/scene_04_step50/ours_answer_oracle_thres_0-8
1,tomato,04,0.8,oracle,0.0,1750784597,50,experiments_logs/system_log/00_ours/tomato/scene_04_step50/ours_answer_oracle_thres_0-8
1,tomato,04,0.8,oracle,0.0,843459738,50,experiments_logs/system_log/00_ours/tomato/scene_04_step50/ours_answer_oracle_thres_0-8
1,tomato,04,0.8,oracle,0.0,2341768776,50,experiments_logs/system_log/00_ours/tomato/scene_04_step50/ours_answer_oracle_thres_0-8
1,tomato,04,0.8,oracle,0.0,3563606326,50,experiments_logs/system_log/00_ours/tomato/scene_04_step50/ours_answer_oracle_thres_0-8
1,tomato,04,0.8,oracle,0.0,1515695743,50,experiments_logs/system_log/00_ours/tomato/scene_04_step50/ours_answer_oracle_thres_0-8
1,tomato,04,0.8,oracle,0.0,2320611067,50,experiments_logs/system_log/00_ours/tomato/scene_04_step50/ours_answer_oracle_thres_0-8
1,tomato,04,0.8,oracle,0.0,914999160,50,experiments_logs/system_log/00_ours/tomato/scene_04_step50/ours_answer_oracle_thres_0-8
1,tomato,04,0.8,oracle,0.0,3008755645,50,experiments_logs/system_log/00_ours/tomato/scene_04_step50/ours_answer_oracle_thres_0-8
1,tomato,04,0.8,oracle,0.0,3807973945,50,experiments_logs/system_log/00_ours/tomato/scene_04_step50/ours_answer_oracle_thres_0-8
