run,logs/wastesorting/scene_01_step50/thres_1-0,logs/wastesorting/scene_02_step50/thres_1-0,logs/wastesorting/scene_03_step50/thres_1-0,logs/wastesorting/scene_04_step50/thres_1-0,logs/wastesorting/scene_05_step50/thres_1-0
1,1,1,1,1,1
2,1,1,0,1,1
3,1,1,1,1,0
4,1,1,1,1,1
5,1,1,1,1,0
6,1,1,1,1,1
7,1,1,1,1,1
8,1,1,1,1,1
9,1,1,1,1,0
10,1,1,1,1,1
11,1,1,1,1,1
12,1,1,1,1,1
13,1,1,1,1,1
14,1,1,1,1,1
15,1,1,0,1,1
16,1,1,1,1,1
17,1,1,1,1,1
18,1,1,1,1,1
19,1,1,1,1,1
20,1,1,1,1,1
21,1,1,1,1,1
22,1,1,1,1,1
23,1,1,1,1,0
24,1,1,0,1,1
25,1,1,1,1,1
26,1,1,1,1,1
27,1,1,1,1,1
28,1,0,0,1,1
29,1,1,1,1,1
30,1,1,1,1,1
31,1,1,1,1,1
32,1,1,1,1,1
33,0,0,1,1,1
34,1,1,1,1,1
35,1,1,1,1,1
36,1,0,1,1,1
37,1,1,1,1,1
38,1,0,1,1,1
39,1,1,1,1,1
40,0,1,1,1,1
41,1,,,,
42,1,,,,
95% confidence interval,0.8872~1.0000,0.8058~0.9942,0.8058~0.9942,1.0000~1.0000,0.8058~0.9942
success rate,0.9524,0.9000,0.9000,1.0000,0.9000
