run_index,domain,scene,threshold,seed,max_step,max_belief_particles,log_dir
1,wastesorting,02,0.8,2580654047,50,800,experiments_logs/system_log/wastesorting/scene_02/scale_ours_step50
1,wastesorting,02,0.8,1192080468,50,800,experiments_logs/system_log/wastesorting/scene_02/scale_ours_step50
1,wastesorting,02,0.8,1541973106,50,800,experiments_logs/system_log/wastesorting/scene_02/scale_ours_step50
1,wastesorting,02,0.8,910993745,50,800,experiments_logs/system_log/wastesorting/scene_02/scale_ours_step50
1,wastesorting,02,0.8,3820294501,50,800,experiments_logs/system_log/wastesorting/scene_02/scale_ours_step50
1,wastesorting,02,0.8,1728351927,50,800,experiments_logs/system_log/wastesorting/scene_02/scale_ours_step50
1,wastesorting,02,0.8,4030974260,50,800,experiments_logs/system_log/wastesorting/scene_02/scale_ours_step50
1,wastesorting,02,0.8,4004964340,50,800,experiments_logs/system_log/wastesorting/scene_02/scale_ours_step50
1,wastesorting,02,0.8,4224673559,50,800,experiments_logs/system_log/wastesorting/scene_02/scale_ours_step50
1,wastesorting,02,0.8,3929545028,50,800,experiments_logs/system_log/wastesorting/scene_02/scale_ours_step50
1,wastesorting,02,0.8,3613013140,50,800,experiments_logs/system_log/wastesorting/scene_02/scale_ours_step50
1,wastesorting,02,0.8,530896334,50,800,experiments_logs/system_log/wastesorting/scene_02/scale_ours_step50
1,wastesorting,02,0.8,1668620870,50,800,experiments_logs/system_log/wastesorting/scene_02/scale_ours_step50
1,wastesorting,02,0.8,2048592201,50,800,experiments_logs/system_log/wastesorting/scene_02/scale_ours_step50
1,wastesorting,02,0.8,2248641981,50,800,experiments_logs/system_log/wastesorting/scene_02/scale_ours_step50
1,wastesorting,02,0.8,3089462723,50,800,experiments_logs/system_log/wastesorting/scene_02/scale_ours_step50
1,wastesorting,02,0.8,2524204253,50,800,experiments_logs/system_log/wastesorting/scene_02/scale_ours_step50
1,wastesorting,02,0.8,1555030637,50,800,experiments_logs/system_log/wastesorting/scene_02/scale_ours_step50
1,wastesorting,02,0.8,476351729,50,800,experiments_logs/system_log/wastesorting/scene_02/scale_ours_step50
1,wastesorting,02,0.8,996197629,50,800,experiments_logs/system_log/wastesorting/scene_02/scale_ours_step50
1,wastesorting,02,0.8,679429460,50,800,experiments_logs/system_log/wastesorting/scene_02/scale_ours_step50
1,wastesorting,02,0.8,1349321669,50,800,experiments_logs/system_log/wastesorting/scene_02/scale_ours_step50
1,wastesorting,02,0.8,3128431585,50,800,experiments_logs/system_log/wastesorting/scene_02/scale_ours_step50
1,wastesorting,02,0.8,3288146152,50,800,experiments_logs/system_log/wastesorting/scene_02/scale_ours_step50
1,wastesorting,02,0.8,1609003038,50,800,experiments_logs/system_log/wastesorting/scene_02/scale_ours_step50
1,wastesorting,02,0.8,1129002137,50,800,experiments_logs/system_log/wastesorting/scene_02/scale_ours_step50
1,wastesorting,02,0.8,899385365,50,800,experiments_logs/system_log/wastesorting/scene_02/scale_ours_step50
1,wastesorting,02,0.8,3745887145,50,800,experiments_logs/system_log/wastesorting/scene_02/scale_ours_step50
1,wastesorting,02,0.8,1253050396,50,800,experiments_logs/system_log/wastesorting/scene_02/scale_ours_step50
1,wastesorting,02,0.8,3414066826,50,800,experiments_logs/system_log/wastesorting/scene_02/scale_ours_step50
1,wastesorting,02,0.8,4145990183,50,800,experiments_logs/system_log/wastesorting/scene_02/scale_ours_step50
1,wastesorting,02,0.8,2509962247,50,800,experiments_logs/system_log/wastesorting/scene_02/scale_ours_step50
1,wastesorting,02,0.8,3985899474,50,800,experiments_logs/system_log/wastesorting/scene_02/scale_ours_step50
1,wastesorting,02,0.8,3591193613,50,800,experiments_logs/system_log/wastesorting/scene_02/scale_ours_step50
1,wastesorting,02,0.8,77860116,50,800,experiments_logs/system_log/wastesorting/scene_02/scale_ours_step50
1,wastesorting,02,0.8,1313369892,50,800,experiments_logs/system_log/wastesorting/scene_02/scale_ours_step50
1,wastesorting,02,0.8,1214810709,50,800,experiments_logs/system_log/wastesorting/scene_02/scale_ours_step50
1,wastesorting,02,0.8,1798917935,50,800,experiments_logs/system_log/wastesorting/scene_02/scale_ours_step50
1,wastesorting,02,0.8,3788428307,50,800,experiments_logs/system_log/wastesorting/scene_02/scale_ours_step50
1,wastesorting,02,0.8,441073984,50,800,experiments_logs/system_log/wastesorting/scene_02/scale_ours_step50
