run_index,domain,scene,threshold,answer_type,noisy_oracle_error_rate,seed,max_step,log_dir
1,wastesorting,04,0.8,oracle,0.0,3782797881,50,experiments_logs/system_log/00_ours/wastesorting/scene_04_step50/ours_answer_oracle_thres_0-8
1,wastesorting,04,0.8,oracle,0.0,2121441147,50,experiments_logs/system_log/00_ours/wastesorting/scene_04_step50/ours_answer_oracle_thres_0-8
1,wastesorting,04,0.8,oracle,0.0,64965183,50,experiments_logs/system_log/00_ours/wastesorting/scene_04_step50/ours_answer_oracle_thres_0-8
1,wastesorting,04,0.8,oracle,0.0,3127135306,50,experiments_logs/system_log/00_ours/wastesorting/scene_04_step50/ours_answer_oracle_thres_0-8
1,wastesorting,04,0.8,oracle,0.0,1478721234,50,experiments_logs/system_log/00_ours/wastesorting/scene_04_step50/ours_answer_oracle_thres_0-8
1,wastesorting,04,0.8,oracle,0.0,4155957659,50,experiments_logs/system_log/00_ours/wastesorting/scene_04_step50/ours_answer_oracle_thres_0-8
1,wastesorting,04,0.8,oracle,0.0,1916156993,50,experiments_logs/system_log/00_ours/wastesorting/scene_04_step50/ours_answer_oracle_thres_0-8
1,wastesorting,04,0.8,oracle,0.0,2858370294,50,experiments_logs/system_log/00_ours/wastesorting/scene_04_step50/ours_answer_oracle_thres_0-8
1,wastesorting,04,0.8,oracle,0.0,3873753864,50,experiments_logs/system_log/00_ours/wastesorting/scene_04_step50/ours_answer_oracle_thres_0-8
1,wastesorting,04,0.8,oracle,0.0,106477886,50,experiments_logs/system_log/00_ours/wastesorting/scene_04_step50/ours_answer_oracle_thres_0-8
1,wastesorting,04,0.8,oracle,0.0,262779426,50,experiments_logs/system_log/00_ours/wastesorting/scene_04_step50/ours_answer_oracle_thres_0-8
1,wastesorting,04,0.8,oracle,0.0,2759409353,50,experiments_logs/system_log/00_ours/wastesorting/scene_04_step50/ours_answer_oracle_thres_0-8
1,wastesorting,04,0.8,oracle,0.0,1718341443,50,experiments_logs/system_log/00_ours/wastesorting/scene_04_step50/ours_answer_oracle_thres_0-8
1,wastesorting,04,0.8,oracle,0.0,3522116610,50,experiments_logs/system_log/00_ours/wastesorting/scene_04_step50/ours_answer_oracle_thres_0-8
1,wastesorting,04,0.8,oracle,0.0,1547109388,50,experiments_logs/system_log/00_ours/wastesorting/scene_04_step50/ours_answer_oracle_thres_0-8
1,wastesorting,04,0.8,oracle,0.0,1406362441,50,experiments_logs/system_log/00_ours/wastesorting/scene_04_step50/ours_answer_oracle_thres_0-8
1,wastesorting,04,0.8,oracle,0.0,3422425044,50,experiments_logs/system_log/00_ours/wastesorting/scene_04_step50/ours_answer_oracle_thres_0-8
1,wastesorting,04,0.8,oracle,0.0,1233534151,50,experiments_logs/system_log/00_ours/wastesorting/scene_04_step50/ours_answer_oracle_thres_0-8
1,wastesorting,04,0.8,oracle,0.0,2984875276,50,experiments_logs/system_log/00_ours/wastesorting/scene_04_step50/ours_answer_oracle_thres_0-8
1,wastesorting,04,0.8,oracle,0.0,2375793717,50,experiments_logs/system_log/00_ours/wastesorting/scene_04_step50/ours_answer_oracle_thres_0-8
1,wastesorting,04,0.8,oracle,0.0,2631256313,50,experiments_logs/system_log/00_ours/wastesorting/scene_04_step50/ours_answer_oracle_thres_0-8
1,wastesorting,04,0.8,oracle,0.0,3988261445,50,experiments_logs/system_log/00_ours/wastesorting/scene_04_step50/ours_answer_oracle_thres_0-8
1,wastesorting,04,0.8,oracle,0.0,229616585,50,experiments_logs/system_log/00_ours/wastesorting/scene_04_step50/ours_answer_oracle_thres_0-8
1,wastesorting,04,0.8,oracle,0.0,1791409002,50,experiments_logs/system_log/00_ours/wastesorting/scene_04_step50/ours_answer_oracle_thres_0-8
1,wastesorting,04,0.8,oracle,0.0,2022222548,50,experiments_logs/system_log/00_ours/wastesorting/scene_04_step50/ours_answer_oracle_thres_0-8
1,wastesorting,04,0.8,oracle,0.0,1824303923,50,experiments_logs/system_log/00_ours/wastesorting/scene_04_step50/ours_answer_oracle_thres_0-8
1,wastesorting,04,0.8,oracle,0.0,595971366,50,experiments_logs/system_log/00_ours/wastesorting/scene_04_step50/ours_answer_oracle_thres_0-8
1,wastesorting,04,0.8,oracle,0.0,35622671,50,experiments_logs/system_log/00_ours/wastesorting/scene_04_step50/ours_answer_oracle_thres_0-8
1,wastesorting,04,0.8,oracle,0.0,1024696658,50,experiments_logs/system_log/00_ours/wastesorting/scene_04_step50/ours_answer_oracle_thres_0-8
1,wastesorting,04,0.8,oracle,0.0,2947186375,50,experiments_logs/system_log/00_ours/wastesorting/scene_04_step50/ours_answer_oracle_thres_0-8
1,wastesorting,04,0.8,oracle,0.0,4204866939,50,experiments_logs/system_log/00_ours/wastesorting/scene_04_step50/ours_answer_oracle_thres_0-8
1,wastesorting,04,0.8,oracle,0.0,706683888,50,experiments_logs/system_log/00_ours/wastesorting/scene_04_step50/ours_answer_oracle_thres_0-8
1,wastesorting,04,0.8,oracle,0.0,3590478462,50,experiments_logs/system_log/00_ours/wastesorting/scene_04_step50/ours_answer_oracle_thres_0-8
1,wastesorting,04,0.8,oracle,0.0,1583056042,50,experiments_logs/system_log/00_ours/wastesorting/scene_04_step50/ours_answer_oracle_thres_0-8
1,wastesorting,04,0.8,oracle,0.0,907989758,50,experiments_logs/system_log/00_ours/wastesorting/scene_04_step50/ours_answer_oracle_thres_0-8
1,wastesorting,04,0.8,oracle,0.0,10073798,50,experiments_logs/system_log/00_ours/wastesorting/scene_04_step50/ours_answer_oracle_thres_0-8
1,wastesorting,04,0.8,oracle,0.0,3854686674,50,experiments_logs/system_log/00_ours/wastesorting/scene_04_step50/ours_answer_oracle_thres_0-8
1,wastesorting,04,0.8,oracle,0.0,3930331753,50,experiments_logs/system_log/00_ours/wastesorting/scene_04_step50/ours_answer_oracle_thres_0-8
1,wastesorting,04,0.8,oracle,0.0,2891011558,50,experiments_logs/system_log/00_ours/wastesorting/scene_04_step50/ours_answer_oracle_thres_0-8
