run_index,domain,scene,answer_type,noisy_oracle_accuracy,noisy_oracle_error_rate,threshold,seed,max_step,runner,log_dir
1,tomato,01,noisy-oracle,0.7,0.3,0.8,1147508549,50,ours,experiments_logs/system_log/04_answer_mode/tomato/scene_01_step50/answer_noisy_oracle_noise_0-7_thres_0-8
1,tomato,01,noisy-oracle,0.7,0.3,0.8,750325732,50,ours,experiments_logs/system_log/04_answer_mode/tomato/scene_01_step50/answer_noisy_oracle_noise_0-7_thres_0-8
1,tomato,01,noisy-oracle,0.7,0.3,0.8,1570277333,50,ours,experiments_logs/system_log/04_answer_mode/tomato/scene_01_step50/answer_noisy_oracle_noise_0-7_thres_0-8
1,tomato,01,noisy-oracle,0.7,0.3,0.8,2801212258,50,ours,experiments_logs/system_log/04_answer_mode/tomato/scene_01_step50/answer_noisy_oracle_noise_0-7_thres_0-8
1,tomato,01,noisy-oracle,0.7,0.3,0.8,460498366,50,ours,experiments_logs/system_log/04_answer_mode/tomato/scene_01_step50/answer_noisy_oracle_noise_0-7_thres_0-8
1,tomato,01,noisy-oracle,0.7,0.3,0.8,2573539242,50,ours,experiments_logs/system_log/04_answer_mode/tomato/scene_01_step50/answer_noisy_oracle_noise_0-7_thres_0-8
1,tomato,01,noisy-oracle,0.7,0.3,0.8,1343573309,50,ours,experiments_logs/system_log/04_answer_mode/tomato/scene_01_step50/answer_noisy_oracle_noise_0-7_thres_0-8
1,tomato,01,noisy-oracle,0.7,0.3,0.8,3102396089,50,ours,experiments_logs/system_log/04_answer_mode/tomato/scene_01_step50/answer_noisy_oracle_noise_0-7_thres_0-8
1,tomato,01,noisy-oracle,0.7,0.3,0.8,3427973484,50,ours,experiments_logs/system_log/04_answer_mode/tomato/scene_01_step50/answer_noisy_oracle_noise_0-7_thres_0-8
1,tomato,01,noisy-oracle,0.7,0.3,0.8,2240773659,50,ours,experiments_logs/system_log/04_answer_mode/tomato/scene_01_step50/answer_noisy_oracle_noise_0-7_thres_0-8
1,tomato,01,noisy-oracle,0.7,0.3,0.8,3154386168,50,ours,experiments_logs/system_log/04_answer_mode/tomato/scene_01_step50/answer_noisy_oracle_noise_0-7_thres_0-8
1,tomato,01,noisy-oracle,0.7,0.3,0.8,3861035278,50,ours,experiments_logs/system_log/04_answer_mode/tomato/scene_01_step50/answer_noisy_oracle_noise_0-7_thres_0-8
1,tomato,01,noisy-oracle,0.7,0.3,0.8,68515578,50,ours,experiments_logs/system_log/04_answer_mode/tomato/scene_01_step50/answer_noisy_oracle_noise_0-7_thres_0-8
1,tomato,01,noisy-oracle,0.7,0.3,0.8,3521966674,50,ours,experiments_logs/system_log/04_answer_mode/tomato/scene_01_step50/answer_noisy_oracle_noise_0-7_thres_0-8
1,tomato,01,noisy-oracle,0.7,0.3,0.8,4156398850,50,ours,experiments_logs/system_log/04_answer_mode/tomato/scene_01_step50/answer_noisy_oracle_noise_0-7_thres_0-8
