index,true_options,selected_true_option,p_true,nonconformity_score,top_tokens,top_logprobs
1,D,D,0.34220701081632027,0.6577929891836798,"A,D,B,C,E","-0.5734292268753052,-0.9484292268753052,-3.1359291076660156,-5.292179107666016,-8.854679107666016"
2,D,D,0.42411202447765556,0.5758879755223445,"D,A,E,C,B","-0.5961507558822632,-0.8305257558822632,-4.393025875091553,-7.143025875091553,-10.393025398254395"
3,B,B,0.7721679551922686,0.22783204480773145,"B,C,E,D,A","-0.0037720545660704374,-6.019397258758545,-6.722522258758545,-9.113146781921387,-15.394396781921387"
4,E,E,0.7187132845378947,0.28128671546210526,"E,C,D,B,A","-0.04302419722080231,-3.1680243015289307,-10.761774063110352,-14.621149063110352,-17.80864906311035"
5,C,C,0.6411624610709724,0.3588375389290276,"C,D,E,B,A","-0.0415898896753788,-3.3072149753570557,-5.510339736938477,-10.119714736938477,-10.916589736938477"
6,B,B,0.6008941671737521,0.3991058328262479,"B,A,D,C,E","-0.12840087711811066,-2.1284008026123047,-7.425275802612305,-9.315900802612305,-12.503400802612305"
7,C,C,0.40140620392010296,0.598593796079897,"C,A,E,B,D","-0.5803889632225037,-0.8928889632225037,-3.5960140228271484,-5.705389022827148,-10.017889022827148"
8,E,E,0.3967385695737519,0.603261430426248,"E,C,A,B,D","-0.536561906337738,-1.4428119659423828,-1.7240619659423828,-8.161561965942383,-11.114686965942383"
9,A,A,0.6309953537856173,0.36900464621438267,"A,C,E,B,D","-0.022584402933716774,-4.444459438323975,-4.694459438323975,-6.616334438323975,-10.163208961486816"
10,A,A,0.6614983706665409,0.33850162933345906,"A,E,D,B,C","-0.046603310853242874,-3.109103202819824,-7.562228202819824,-9.359103202819824,-11.124728202819824"
11,D,D,0.6996117599128919,0.30038824008710807,"D,E,B,C,A","-0.0146544324234128,-4.577154636383057,-5.530279636383057,-9.233404159545898,-15.624029159545898"
12,C,C,0.4879750801575392,0.5120249198424608,"C,E,B,D,A","-0.5498579144477844,-0.8623579144477844,-7.174858093261719,-10.924858093261719,-15.502983093261719"
13,C,C,0.8148932106047129,0.18510678939528713,"C,D,E,B","-0.010710806585848331,-4.541960716247559,-17.166961669921875,-17.385711669921875"
14,E,E,0.2583874506155125,0.7416125493844875,"B,E,C,D,A","-0.21500912308692932,-2.0743842124938965,-2.6993842124938965,-7.4650092124938965,-12.230633735656738"
15,A,A,0.5607337937525164,0.4392662062474836,"A,E,B,D,C","-0.17313152551651,-1.8606314659118652,-6.157506465911865,-9.891881942749023,-9.954381942749023"
16,E,E,0.2678309495777466,0.7321690504222533,"A,E,D,C,B","-0.0997517853975296,-2.3810017108917236,-6.615376949310303,-7.177876949310303,-8.099751472473145"
17,B,B,0.2842711781971658,0.7157288218028341,"E,A,B,D,C","-0.6033421158790588,-1.447092056274414,-1.525217056274414,-9.587717056274414,-9.790842056274414"
18,A,A,0.7717206468816316,0.22827935311836844,"A,D,B,C,E","-0.009716201573610306,-4.650341033935547,-10.040966033935547,-10.119091033935547,-12.994091033935547"
19,D,D,0.7837418568049622,0.21625814319503778,"D,E,B,C,A","-0.00838739238679409,-4.805262565612793,-9.727137565612793,-10.852137565612793,-14.602137565612793"
20,B,B,0.45740216037488374,0.5425978396251163,"B,E,A,C,D","-0.2895163297653198,-1.8988913297653198,-2.2895164489746094,-9.22701644897461,-10.16451644897461"
21,C,C,0.7449600343993734,0.2550399656006266,"C,D,A,B,E","-0.007089134305715561,-5.178964138031006,-6.632089138031006,-9.647713661193848,-12.835213661193848"
22,C,C,0.77568394149381,0.22431605850618996,"C,B,E,D,A","-0.010784282349050045,-4.542034149169922,-10.010784149169922,-10.526409149169922,-17.807659149169922"
23,A,A,0.02110851659242969,0.9788914834075703,"D,E,C,B,A","-0.005342497490346432,-5.427217483520508,-7.739717483520508,-7.755342483520508,-10.692842483520508"
24,E,E,0.510775542222347,0.489224457777653,"E,B,A,C,D","-0.0745098814368248,-3.152634859085083,-3.840134859085083,-5.480760097503662,-5.777635097503662"
25,E,E,0.8167247276723518,0.18327527232764818,"E,B,C,D,A","-0.0034377998672425747,-5.7221879959106445,-9.065937995910645,-11.550312995910645,-15.503437995910645"
26,C,C,0.6459569785575147,0.35404302144248534,"C,A,E,B,D","-0.04498228058218956,-3.1699821949005127,-6.310607433319092,-8.763731956481934,-12.326231956481934"
27,E,E,0.780009057342364,0.21999094265763597,"E,A,D,C,B","-0.0033155500423163176,-6.143940448760986,-6.831440448760986,-10.503315925598145,-11.737690925598145"
