run_index,domain,scene,answer_type,noisy_oracle_accuracy,noisy_oracle_error_rate,threshold,seed,max_step,runner,log_dir
1,wastesorting,04,noisy-oracle,0.9,0.1,0.8,1456052449,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_04_step50/answer_noisy_oracle_noise_0-9_thres_0-8
1,wastesorting,04,noisy-oracle,0.9,0.1,0.8,2660244686,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_04_step50/answer_noisy_oracle_noise_0-9_thres_0-8
1,wastesorting,04,noisy-oracle,0.9,0.1,0.8,3380224455,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_04_step50/answer_noisy_oracle_noise_0-9_thres_0-8
1,wastesorting,04,noisy-oracle,0.9,0.1,0.8,3862561617,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_04_step50/answer_noisy_oracle_noise_0-9_thres_0-8
1,wastesorting,04,noisy-oracle,0.9,0.1,0.8,728579612,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_04_step50/answer_noisy_oracle_noise_0-9_thres_0-8
1,wastesorting,04,noisy-oracle,0.9,0.1,0.8,3957887678,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_04_step50/answer_noisy_oracle_noise_0-9_thres_0-8
1,wastesorting,04,noisy-oracle,0.9,0.1,0.8,1979509459,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_04_step50/answer_noisy_oracle_noise_0-9_thres_0-8
1,wastesorting,04,noisy-oracle,0.9,0.1,0.8,2348827195,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_04_step50/answer_noisy_oracle_noise_0-9_thres_0-8
1,wastesorting,04,noisy-oracle,0.9,0.1,0.8,2687746237,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_04_step50/answer_noisy_oracle_noise_0-9_thres_0-8
1,wastesorting,04,noisy-oracle,0.9,0.1,0.8,2161514009,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_04_step50/answer_noisy_oracle_noise_0-9_thres_0-8
1,wastesorting,04,noisy-oracle,0.9,0.1,0.8,3515612469,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_04_step50/answer_noisy_oracle_noise_0-9_thres_0-8
1,wastesorting,04,noisy-oracle,0.9,0.1,0.8,4291119371,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_04_step50/answer_noisy_oracle_noise_0-9_thres_0-8
1,wastesorting,04,noisy-oracle,0.9,0.1,0.8,296835286,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_04_step50/answer_noisy_oracle_noise_0-9_thres_0-8
1,wastesorting,04,noisy-oracle,0.9,0.1,0.8,1526282566,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_04_step50/answer_noisy_oracle_noise_0-9_thres_0-8
1,wastesorting,04,noisy-oracle,0.9,0.1,0.8,245264410,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_04_step50/answer_noisy_oracle_noise_0-9_thres_0-8
1,wastesorting,04,noisy-oracle,0.9,0.1,0.8,1114724606,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_04_step50/answer_noisy_oracle_noise_0-9_thres_0-8
1,wastesorting,04,noisy-oracle,0.9,0.1,0.8,1159755462,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_04_step50/answer_noisy_oracle_noise_0-9_thres_0-8
1,wastesorting,04,noisy-oracle,0.9,0.1,0.8,1127952510,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_04_step50/answer_noisy_oracle_noise_0-9_thres_0-8
1,wastesorting,04,noisy-oracle,0.9,0.1,0.8,1639502639,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_04_step50/answer_noisy_oracle_noise_0-9_thres_0-8
1,wastesorting,04,noisy-oracle,0.9,0.1,0.8,693882768,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_04_step50/answer_noisy_oracle_noise_0-9_thres_0-8
1,wastesorting,04,noisy-oracle,0.9,0.1,0.8,1136911883,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_04_step50/answer_noisy_oracle_noise_0-9_thres_0-8
1,wastesorting,04,noisy-oracle,0.9,0.1,0.8,2020880918,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_04_step50/answer_noisy_oracle_noise_0-9_thres_0-8
1,wastesorting,04,noisy-oracle,0.9,0.1,0.8,1494016325,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_04_step50/answer_noisy_oracle_noise_0-9_thres_0-8
1,wastesorting,04,noisy-oracle,0.9,0.1,0.8,1730804911,50,ours,experiments_logs/system_log/04_answer_mode/wastesorting/scene_04_step50/answer_noisy_oracle_noise_0-9_thres_0-8
