run_index,domain,scene,threshold,gamma,n_simulations,seed,log_dir
1,wastesorting,05,0.5,0.2,100,933895349,experiments_logs/system_log/wastesorting/scene_05_step50/thres_0-5
1,wastesorting,05,0.5,0.2,100,505995326,experiments_logs/system_log/wastesorting/scene_05_step50/thres_0-5
1,wastesorting,05,0.5,0.2,100,3580047091,experiments_logs/system_log/wastesorting/scene_05_step50/thres_0-5
1,wastesorting,05,0.5,0.2,100,801754141,experiments_logs/system_log/wastesorting/scene_05_step50/thres_0-5
1,wastesorting,05,0.5,0.2,100,3186495664,experiments_logs/system_log/wastesorting/scene_05_step50/thres_0-5
1,wastesorting,05,0.5,0.2,100,1423019025,experiments_logs/system_log/wastesorting/scene_05_step50/thres_0-5
1,wastesorting,05,0.5,0.2,100,3398639864,experiments_logs/system_log/wastesorting/scene_05_step50/thres_0-5
1,wastesorting,05,0.5,0.2,100,2050275715,experiments_logs/system_log/wastesorting/scene_05_step50/thres_0-5
1,wastesorting,05,0.5,0.2,100,3261385028,experiments_logs/system_log/wastesorting/scene_05_step50/thres_0-5
1,wastesorting,05,0.5,0.2,100,3697258970,experiments_logs/system_log/wastesorting/scene_05_step50/thres_0-5
1,wastesorting,05,0.5,0.2,100,1882796170,experiments_logs/system_log/wastesorting/scene_05_step50/thres_0-5
1,wastesorting,05,0.5,0.2,100,2764679378,experiments_logs/system_log/wastesorting/scene_05_step50/thres_0-5
1,wastesorting,05,0.5,0.2,100,3187926301,experiments_logs/system_log/wastesorting/scene_05_step50/thres_0-5
1,wastesorting,05,0.5,0.2,100,842000404,experiments_logs/system_log/wastesorting/scene_05_step50/thres_0-5
1,wastesorting,05,0.5,0.2,100,4063890635,experiments_logs/system_log/wastesorting/scene_05_step50/thres_0-5
1,wastesorting,05,0.5,0.2,100,2910729992,experiments_logs/system_log/wastesorting/scene_05_step50/thres_0-5
1,wastesorting,05,0.5,0.2,100,614521323,experiments_logs/system_log/wastesorting/scene_05_step50/thres_0-5
1,wastesorting,05,0.5,0.2,100,4266485061,experiments_logs/system_log/wastesorting/scene_05_step50/thres_0-5
1,wastesorting,05,0.5,0.2,100,1479432185,experiments_logs/system_log/wastesorting/scene_05_step50/thres_0-5
1,wastesorting,05,0.5,0.2,100,3537963063,experiments_logs/system_log/wastesorting/scene_05_step50/thres_0-5
1,wastesorting,05,0.5,0.2,100,793649145,experiments_logs/system_log/wastesorting/scene_05_step50/thres_0-5
1,wastesorting,05,0.5,0.2,100,3369883729,experiments_logs/system_log/wastesorting/scene_05_step50/thres_0-5
1,wastesorting,05,0.5,0.2,100,716413817,experiments_logs/system_log/wastesorting/scene_05_step50/thres_0-5
1,wastesorting,05,0.5,0.2,100,3156514967,experiments_logs/system_log/wastesorting/scene_05_step50/thres_0-5
1,wastesorting,05,0.5,0.2,100,1471276810,experiments_logs/system_log/wastesorting/scene_05_step50/thres_0-5
1,wastesorting,05,0.5,0.2,100,515831047,experiments_logs/system_log/wastesorting/scene_05_step50/thres_0-5
1,wastesorting,05,0.5,0.2,100,340248952,experiments_logs/system_log/wastesorting/scene_05_step50/thres_0-5
1,wastesorting,05,0.5,0.2,100,1349150470,experiments_logs/system_log/wastesorting/scene_05_step50/thres_0-5
1,wastesorting,05,0.5,0.2,100,2701247079,experiments_logs/system_log/wastesorting/scene_05_step50/thres_0-5
1,wastesorting,05,0.5,0.2,100,1879058457,experiments_logs/system_log/wastesorting/scene_05_step50/thres_0-5
1,wastesorting,05,0.5,0.2,100,1757333099,experiments_logs/system_log/wastesorting/scene_05_step50/thres_0-5
1,wastesorting,05,0.5,0.2,100,3390086595,experiments_logs/system_log/wastesorting/scene_05_step50/thres_0-5
1,wastesorting,05,0.5,0.2,100,1902726987,experiments_logs/system_log/wastesorting/scene_05_step50/thres_0-5
1,wastesorting,05,0.5,0.2,100,1293524315,experiments_logs/system_log/wastesorting/scene_05_step50/thres_0-5
1,wastesorting,05,0.5,0.2,100,3012544172,experiments_logs/system_log/wastesorting/scene_05_step50/thres_0-5
1,wastesorting,05,0.5,0.2,100,955342104,experiments_logs/system_log/wastesorting/scene_05_step50/thres_0-5
1,wastesorting,05,0.5,0.2,100,2633518035,experiments_logs/system_log/wastesorting/scene_05_step50/thres_0-5
1,wastesorting,05,0.5,0.2,100,3835051922,experiments_logs/system_log/wastesorting/scene_05_step50/thres_0-5
1,wastesorting,05,0.5,0.2,100,2269998438,experiments_logs/system_log/wastesorting/scene_05_step50/thres_0-5
1,wastesorting,05,0.5,0.2,100,1247498204,experiments_logs/system_log/wastesorting/scene_05_step50/thres_0-5
