run_index,domain,scene,threshold,seed,log_dir
1,tomato,04,0.2,1323789493,experiments_logs/system_log/tomato/scene_04_step50/thres_0-2
1,tomato,04,0.2,2064739818,experiments_logs/system_log/tomato/scene_04_step50/thres_0-2
1,tomato,04,0.2,1892547947,experiments_logs/system_log/tomato/scene_04_step50/thres_0-2
1,tomato,04,0.2,1556404490,experiments_logs/system_log/tomato/scene_04_step50/thres_0-2
1,tomato,04,0.2,264725080,experiments_logs/system_log/tomato/scene_04_step50/thres_0-2
1,tomato,04,0.2,2761871421,experiments_logs/system_log/tomato/scene_04_step50/thres_0-2
1,tomato,04,0.2,3814905503,experiments_logs/system_log/tomato/scene_04_step50/thres_0-2
1,tomato,04,0.2,3647224983,experiments_logs/system_log/tomato/scene_04_step50/thres_0-2
1,tomato,04,0.2,3093731326,experiments_logs/system_log/tomato/scene_04_step50/thres_0-2
1,tomato,04,0.2,422611441,experiments_logs/system_log/tomato/scene_04_step50/thres_0-2
1,tomato,04,0.2,4170738664,experiments_logs/system_log/tomato/scene_04_step50/thres_0-2
1,tomato,04,0.2,3268895283,experiments_logs/system_log/tomato/scene_04_step50/thres_0-2
1,tomato,04,0.2,2932698622,experiments_logs/system_log/tomato/scene_04_step50/thres_0-2
1,tomato,04,0.2,2587438234,experiments_logs/system_log/tomato/scene_04_step50/thres_0-2
1,tomato,04,0.2,3826771904,experiments_logs/system_log/tomato/scene_04_step50/thres_0-2
1,tomato,04,0.2,1917386786,experiments_logs/system_log/tomato/scene_04_step50/thres_0-2
1,tomato,04,0.2,1757678655,experiments_logs/system_log/tomato/scene_04_step50/thres_0-2
1,tomato,04,0.2,371627832,experiments_logs/system_log/tomato/scene_04_step50/thres_0-2
1,tomato,04,0.2,1471899605,experiments_logs/system_log/tomato/scene_04_step50/thres_0-2
1,tomato,04,0.2,1836965610,experiments_logs/system_log/tomato/scene_04_step50/thres_0-2
1,tomato,04,0.2,3580846797,experiments_logs/system_log/tomato/scene_04_step50/thres_0-2
1,tomato,04,0.2,2055970436,experiments_logs/system_log/tomato/scene_04_step50/thres_0-2
1,tomato,04,0.2,1484735277,experiments_logs/system_log/tomato/scene_04_step50/thres_0-2
1,tomato,04,0.2,3267946222,experiments_logs/system_log/tomato/scene_04_step50/thres_0-2
1,tomato,04,0.2,3926949801,experiments_logs/system_log/tomato/scene_04_step50/thres_0-2
1,tomato,04,0.2,196635686,experiments_logs/system_log/tomato/scene_04_step50/thres_0-2
1,tomato,04,0.2,832043536,experiments_logs/system_log/tomato/scene_04_step50/thres_0-2
1,tomato,04,0.2,1218814249,experiments_logs/system_log/tomato/scene_04_step50/thres_0-2
1,tomato,04,0.2,893096313,experiments_logs/system_log/tomato/scene_04_step50/thres_0-2
1,tomato,04,0.2,3681340260,experiments_logs/system_log/tomato/scene_04_step50/thres_0-2
1,tomato,04,0.2,4210579654,experiments_logs/system_log/tomato/scene_04_step50/thres_0-2
1,tomato,04,0.2,3908595085,experiments_logs/system_log/tomato/scene_04_step50/thres_0-2
1,tomato,04,0.2,4025889578,experiments_logs/system_log/tomato/scene_04_step50/thres_0-2
1,tomato,04,0.2,147661617,experiments_logs/system_log/tomato/scene_04_step50/thres_0-2
1,tomato,04,0.2,1247823155,experiments_logs/system_log/tomato/scene_04_step50/thres_0-2
1,tomato,04,0.2,3517156601,experiments_logs/system_log/tomato/scene_04_step50/thres_0-2
1,tomato,04,0.2,1224852622,experiments_logs/system_log/tomato/scene_04_step50/thres_0-2
1,tomato,04,0.2,593691817,experiments_logs/system_log/tomato/scene_04_step50/thres_0-2
1,tomato,04,0.2,1033277377,experiments_logs/system_log/tomato/scene_04_step50/thres_0-2
1,tomato,04,0.2,980354848,experiments_logs/system_log/tomato/scene_04_step50/thres_0-2
