run_index,domain,scene,threshold,gamma,n_simulations,seed,log_dir
1,tomato,04,0.0,0.2,100,2396235952,experiments_logs/system_log/tomato/scene_04_step50/thres_0-0
1,tomato,04,0.0,0.2,100,2053170976,experiments_logs/system_log/tomato/scene_04_step50/thres_0-0
1,tomato,04,0.0,0.2,100,499654824,experiments_logs/system_log/tomato/scene_04_step50/thres_0-0
1,tomato,04,0.0,0.2,100,8870645,experiments_logs/system_log/tomato/scene_04_step50/thres_0-0
1,tomato,04,0.0,0.2,100,3471439897,experiments_logs/system_log/tomato/scene_04_step50/thres_0-0
1,tomato,04,0.0,0.2,100,2518063737,experiments_logs/system_log/tomato/scene_04_step50/thres_0-0
1,tomato,04,0.0,0.2,100,100296548,experiments_logs/system_log/tomato/scene_04_step50/thres_0-0
1,tomato,04,0.0,0.2,100,3370494244,experiments_logs/system_log/tomato/scene_04_step50/thres_0-0
1,tomato,04,0.0,0.2,100,1912825338,experiments_logs/system_log/tomato/scene_04_step50/thres_0-0
1,tomato,04,0.0,0.2,100,3580030951,experiments_logs/system_log/tomato/scene_04_step50/thres_0-0
1,tomato,04,0.0,0.2,100,2418475379,experiments_logs/system_log/tomato/scene_04_step50/thres_0-0
1,tomato,04,0.0,0.2,100,788773312,experiments_logs/system_log/tomato/scene_04_step50/thres_0-0
1,tomato,04,0.0,0.2,100,4033778141,experiments_logs/system_log/tomato/scene_04_step50/thres_0-0
1,tomato,04,0.0,0.2,100,3460979165,experiments_logs/system_log/tomato/scene_04_step50/thres_0-0
1,tomato,04,0.0,0.2,100,1980264074,experiments_logs/system_log/tomato/scene_04_step50/thres_0-0
1,tomato,04,0.0,0.2,100,1498304597,experiments_logs/system_log/tomato/scene_04_step50/thres_0-0
1,tomato,04,0.0,0.2,100,3025404814,experiments_logs/system_log/tomato/scene_04_step50/thres_0-0
1,tomato,04,0.0,0.2,100,4034489296,experiments_logs/system_log/tomato/scene_04_step50/thres_0-0
1,tomato,04,0.0,0.2,100,2352087586,experiments_logs/system_log/tomato/scene_04_step50/thres_0-0
1,tomato,04,0.0,0.2,100,1194664959,experiments_logs/system_log/tomato/scene_04_step50/thres_0-0
1,tomato,04,0.0,0.2,100,3571181846,experiments_logs/system_log/tomato/scene_04_step50/thres_0-0
1,tomato,04,0.0,0.2,100,3478400681,experiments_logs/system_log/tomato/scene_04_step50/thres_0-0
1,tomato,04,0.0,0.2,100,4099228409,experiments_logs/system_log/tomato/scene_04_step50/thres_0-0
1,tomato,04,0.0,0.2,100,3509264218,experiments_logs/system_log/tomato/scene_04_step50/thres_0-0
1,tomato,04,0.0,0.2,100,1725286681,experiments_logs/system_log/tomato/scene_04_step50/thres_0-0
1,tomato,04,0.0,0.2,100,2711005330,experiments_logs/system_log/tomato/scene_04_step50/thres_0-0
1,tomato,04,0.0,0.2,100,581218169,experiments_logs/system_log/tomato/scene_04_step50/thres_0-0
1,tomato,04,0.0,0.2,100,401611097,experiments_logs/system_log/tomato/scene_04_step50/thres_0-0
1,tomato,04,0.0,0.2,100,2533687855,experiments_logs/system_log/tomato/scene_04_step50/thres_0-0
1,tomato,04,0.0,0.2,100,395737867,experiments_logs/system_log/tomato/scene_04_step50/thres_0-0
1,tomato,04,0.0,0.2,100,2600483655,experiments_logs/system_log/tomato/scene_04_step50/thres_0-0
1,tomato,04,0.0,0.2,100,1763980997,experiments_logs/system_log/tomato/scene_04_step50/thres_0-0
1,tomato,04,0.0,0.2,100,1925255112,experiments_logs/system_log/tomato/scene_04_step50/thres_0-0
1,tomato,04,0.0,0.2,100,1284087876,experiments_logs/system_log/tomato/scene_04_step50/thres_0-0
1,tomato,04,0.0,0.2,100,3066294864,experiments_logs/system_log/tomato/scene_04_step50/thres_0-0
1,tomato,04,0.0,0.2,100,3698170043,experiments_logs/system_log/tomato/scene_04_step50/thres_0-0
1,tomato,04,0.0,0.2,100,3361103849,experiments_logs/system_log/tomato/scene_04_step50/thres_0-0
1,tomato,04,0.0,0.2,100,3012863955,experiments_logs/system_log/tomato/scene_04_step50/thres_0-0
1,tomato,04,0.0,0.2,100,4214937539,experiments_logs/system_log/tomato/scene_04_step50/thres_0-0
1,tomato,04,0.0,0.2,100,1385166869,experiments_logs/system_log/tomato/scene_04_step50/thres_0-0
